nct_id,title,status,phase,start_date,completion_date,enrollment,sponsor_name,sponsor_type,outcome,primary_drug,all_drugs,intervention_type,disease,collection_date
NCT04474314,A Study of IMR-687 in Subjects With Sickle Cell Disease,TERMINATED,Phase 2,2020-08-13,2022-05-04,115,"Cardurion Pharmaceuticals, Inc.",INDUSTRY,Failure,IMR-687,IMR-687; Placebo,DRUG,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT01340404,Allogeneic Genoidentical Stem Cell Transplantation in Children With Sickle-cell Anemia and Cerebral Vasculopathy,COMPLETED,NA,2010-12,2015-10,63,Assistance Publique - Hôpitaux de Paris,OTHER,Success,,,PROCEDURE,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT01877837,Stem Cell Transplantation for Sickle Cell Anemia,COMPLETED,Phase 3,2011-06,2021-09,30,Hackensack Meridian Health,OTHER,Success,Alemtuzumab,Alemtuzumab; Fludarabine; Melphalan,DRUG,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT05572294,Mindfulness and Yoga Therapy for Acute Pain in Sickle Cell Disease,COMPLETED,NA,2022-11-10,2023-02-02,39,University of Texas Southwestern Medical Center,OTHER,Success,,,BEHAVIORAL,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT01788631,A Phase II Trial of Regadenoson in Sickle Cell Anemia,COMPLETED,Phase 2,2013-07,2016-12-12,100,Dana-Farber Cancer Institute,OTHER,Success,Regadenoson,Regadenoson; Placebo,DRUG,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT05255445,Red Blood Cell - IMProving trAnsfusions for Chronically Transfused Recipients,COMPLETED,,2022-03-16,2024-03-31,157,Westat,OTHER,Success,,,BIOLOGICAL,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT06601894,The Relationship of Platelet Counts With Sickle Cell Anemia in the Eastern Region of Saudi Arabia,NOT_YET_RECRUITING,,2024-12-01,2025-03-30,650,Majmaah University,OTHER,Ongoing,,,DIAGNOSTIC_TEST,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT00895154,A Rehabilitation Program in Children With Sickle Cell Disease and Cognitive Deficits: a Pilot Study,COMPLETED,NA,2003-09,2014-12,21,Washington University School of Medicine,OTHER,Success,,,BEHAVIORAL,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT03753854,Sleep Apnea in Sickle Cell Disease,TERMINATED,NA,2018-05-28,2021-11-29,30,Hospices Civils de Lyon,OTHER,Failure,,,DIAGNOSTIC_TEST,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT01932554,Abciximab (ReoPro) as a Therapeutic Intervention for Sickle Cell Vaso-Occlusive Pain Crisis,WITHDRAWN,Phase 2,2013-11,2015-03,0,St. Louis University,OTHER,Failure,Abciximab,Abciximab; Placebo; Ibuprofen,DRUG,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT03716726,Sickle Cell Anemia WE CARE,COMPLETED,NA,2021-01-21,2023-02-01,112,Boston Medical Center,OTHER,Success,,,BEHAVIORAL,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT07145411,HPC Offered for PRESERVE Expansion,RECRUITING,,2024-06-27,2029-08,10,"Ossium Health, Inc.",INDUSTRY,Ongoing,,,OTHER,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT00047996,Blood Collection for Research Related to Certain Diseases Involving Blood Vessels,ENROLLING_BY_INVITATION,,2002-11-04,,2000,"National Heart, Lung, and Blood Institute (NHLBI)",NIH,Ongoing,,,,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT02640573,Treatment of Adult Patients With Hemoglobin SC Disease (SCYTHE),TERMINATED,Phase 2,2015-10-12,2017-11-16,1,Baylor College of Medicine,OTHER,Failure,Hydroxyurea,Hydroxyurea,DRUG,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT00305175,Long Term Effects of Hydroxyurea Therapy in Children With Sickle Cell Disease,COMPLETED,,2006-03-03,2015-04-23,260,St. Jude Children's Research Hospital,OTHER,Success,,,,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT03462511,Hydroxyurea Adherence for Personal Best in Sickle Cell Disease (HABIT): Efficacy Trial,COMPLETED,NA,2018-08-15,2021-12-31,50,Columbia University,OTHER,Success,,,BEHAVIORAL,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT03327428,Sickle-cell Disease Registry of the GPOH,RECRUITING,,2016-12-15,2040-12-31,1000,University Hospital Heidelberg,OTHER,Ongoing,,,,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT00127543,Kid Cards: Teaching Kids About Medicines,WITHDRAWN,NA,2005-08,2006-04,0,Children's Mercy Hospital Kansas City,OTHER,Failure,,,BEHAVIORAL,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT07599176,Partial Stem Cell Transplant for Sickle Cell Disease From Matched Donors,RECRUITING,Phase 1; Phase 2,2026-06-01,2035-06-30,90,"National Heart, Lung, and Blood Institute (NHLBI)",NIH,Ongoing,Alemtuzumab,Alemtuzumab; Abatacept,RADIATION,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT00061568,Improving the Results of Bone Marrow Transplantation for Patients With Severe Congenital Anemias,UNKNOWN,Phase 1; Phase 2,2004-07-16,2026-01-31,130,"National Heart, Lung, and Blood Institute (NHLBI)",NIH,Unknown,Alemtuzumab,Alemtuzumab; Sirolimus,PROCEDURE,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT03126695,A Study to Compare if the Uptake of Ticagrelor in the Body Differs When Different Tablets Are Administered,COMPLETED,Phase 1,2017-05-12,2017-07-24,44,AstraZeneca,INDUSTRY,Success,Ticagrelor granule,Ticagrelor granule; Ticagrelor pediatric tablets; Ticagrelor pediatric tablets suspended in water,DRUG,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT00143572,Use of Hydroxyurea and Magnesium Pidolate for Treatment of Sickle Cell Disease,COMPLETED,Phase 1,2004-11,2008-01,16,St. Jude Children's Research Hospital,OTHER,Success,"Magnesium Pidolate, Hydroxyurea","Magnesium Pidolate, Hydroxyurea",DRUG,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT05494541,Characteristics of Patients With Sickle Cell Disease,COMPLETED,,2021-08-30,2021-10-27,540,Novartis Pharmaceuticals,INDUSTRY,Success,,,OTHER,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT07177300,Effectiveness of Nontraditional Hydroxyurea Algorithms: Novel and Clinical Evaluations (ENHANCE),RECRUITING,Phase 4,2024-12-19,2028-12,50,"Children's Hospital Medical Center, Cincinnati",OTHER,Ongoing,PK-optimized oral hydroxyurea at MTD until 15 years of age.,PK-optimized oral hydroxyurea at MTD until 15 years of age.,DRUG,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT03948867,Stroke Prevention With Hydroxyurea Enabled Through Research and Education (SPHERE),ENROLLING_BY_INVITATION,Phase 2,2019-04-24,2026-12-31,202,"Children's Hospital Medical Center, Cincinnati",OTHER,Ongoing,Hydroxyurea,Hydroxyurea,DRUG,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT04398628,ATHN Transcends: A Natural History Study of Non-Neoplastic Hematologic Disorders,RECRUITING,,2020-09-30,2035-12,3000,American Thrombosis and Hemostasis Network,NETWORK,Ongoing,,,,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT00744692,Reduced Intensity Conditioning for Umbilical Cord Blood Transplant in Pediatric Patients With Non-Malignant Disorders,COMPLETED,Phase 1,2008-10,2014-04,22,Duke University,OTHER,Success,Reduced Intensity Conditioning,Reduced Intensity Conditioning,BIOLOGICAL,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT04001907,Effect of Exercise With and Without HMB on Body Composition and Muscle Strength in Sickle Cell Anaemia,UNKNOWN,NA,2013-04-30,2019-11-15,24,The University of The West Indies,OTHER,Unknown,,,BEHAVIORAL,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT04750707,Hydroxyurea Therapy for Neurological and Cognitive Protection in Pediatric Sickle Cell Anemia in Uganda ( BRAINSAFE-II ),COMPLETED,Phase 3,2021-03-09,2025-03-10,270,Global Health Uganda LTD,OTHER,Success,Hydroxyurea,Hydroxyurea,DRUG,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT02961218,"Study of Efficacy, Safety and Tolerability of ACZ885 (Canakinumab) in Pediatric and Young Adult Patients With Sickle Cell Anemia",COMPLETED,Phase 2,2017-04-05,2020-04-27,49,Novartis Pharmaceuticals,INDUSTRY,Success,ACZ885,ACZ885; Placebo,DRUG,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT05456880,BEACON: A Study Evaluating the Safety and Efficacy of BEAM-101 in Patients With Severe Sickle Cell Disease,ACTIVE_NOT_RECRUITING,Phase 1; Phase 2,2022-08-30,2028-02,15,Beam Therapeutics Inc.,INDUSTRY,Success,,,BIOLOGICAL,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT01558076,Longitudinal Changes in Exercise Capacity in Children and Young Adults With Sickle Cell Anemia,COMPLETED,,2012-01,2017-04-11,35,Ann & Robert H Lurie Children's Hospital of Chicago,OTHER,Success,,,,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT01518218,Effectiveness of Laying-on-of-hands for Sickle Cell Disease,COMPLETED,Phase 2,2006-03,2009-12,40,MOA Health Science Foundation,OTHER,Success,,,BEHAVIORAL,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT01322269,A Study of HQK-1001 in Patients With Sickle Cell Disease,COMPLETED,Phase 2,2011-04,,52,HemaQuest Pharmaceuticals Inc.,INDUSTRY,Success,HQK-1001,HQK-1001,DRUG,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT03709303,"Motivations, Expectations, and Decision-making of Sickle Cell Patients in Clinical Research",COMPLETED,,2018-10-29,2020-08-28,27,National Institutes of Health Clinical Center (CC),NIH,Success,,,,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT00072761,Silent Cerebral Infarct Transfusion Multi-Center Clinical Trial,COMPLETED,Phase 3,2004-12,2013-12,196,Washington University School of Medicine,OTHER,Success,,,PROCEDURE,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT06886477,"Sickle Cell, Pain and Mediterranean Diet",RECRUITING,NA,2025-05-01,2026-12-31,30,University of Illinois at Chicago,OTHER,Ongoing,,,OTHER,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT01704794,Quality of Life Study for Sickle Cell Patients Treated With Jobelyn (Sorghum Bicolor Extract),UNKNOWN,Phase 1; Phase 2,2013-04,2014-09,96,Lagos State University,OTHER,Unknown,Folic Acid + Paludrine + Jobelyn (250mg),Folic Acid + Paludrine + Jobelyn (250mg),DIETARY_SUPPLEMENT,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT05142254,A Trial for Prevention of Recurrent Ischemic Priapism in Men With Sickle Cell Disease: A Pilot Study,COMPLETED,Phase 2,2022-04-01,2023-11-09,64,Vanderbilt University Medical Center,OTHER,Success,Tadalafil,Tadalafil; Hydroxyurea; Placebo,DRUG,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT06773715,Virtual Reality As Adjunct Therapy for Vaso-Occlusive Pain,RECRUITING,NA,2024-09-12,2025-12-19,36,Louisiana State University Health Sciences Center in New Orleans,OTHER,Ongoing,,,DEVICE,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT02698761,A Comprehensive Care Plan for Pediatric Patients With Vaso-Occlusive Crises,TERMINATED,NA,2016-04,2018-03,3,Valley Anesthesiology Consultants,OTHER,Failure,,,OTHER,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT02212535,Assessment of Tolerance of Mobilizing Peripheral Hematopoietic Stem Cells by Plerixafor in Sickle Cell Patients,COMPLETED,Phase 1; Phase 2,2016-01-15,2017-09-27,3,Assistance Publique - Hôpitaux de Paris,OTHER,Success,Plerixafor,Plerixafor,DRUG,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT04060888,A Study of Ustekinumab in Chinese Participants With Active Systemic Lupus Erythematosus,WITHDRAWN,Phase 3,2020-07-14,2026-03-31,0,"Janssen Research & Development, LLC",INDUSTRY,Failure,Ustekinumab (approximately 6 mg/kg),Ustekinumab (approximately 6 mg/kg); Ustekinumab 90 milligram (mg); Placebo,DRUG,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT03804723,Glucocorticoids Withdrawal in Early Systemic Lupus Erythematosus,UNKNOWN,NA,2019-06,2023-09,321,University of Pisa,OTHER,Unknown,oral Prednisone 5mg,oral Prednisone 5mg,DRUG,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT06342960,"KYSA-3: A Study of Anti-CD19 Chimeric Antigen Receptor T-Cell (CD19 CAR T) Therapy, in Subjects With Refractory Lupus Nephritis",ACTIVE_NOT_RECRUITING,Phase 1; Phase 2,2022-12-01,2029-01,2,Kyverna Therapeutics,INDUSTRY,Success,Standard lymphodepletion regimen,Standard lymphodepletion regimen,BIOLOGICAL,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT06613360,"A Study of CLN-978, a Subcutaneously Administered CD19-directed T Cell Engager, in Subjects With Systemic Lupus Erythematosus",RECRUITING,Phase 1,2025-01-21,2027-12,24,Cullinan Therapeutics Inc.,INDUSTRY,Ongoing,CLN-978,CLN-978,DRUG,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT00608127,"Study to Evaluate the Safety, Tolerability and Short Term Efficacy of Extracorporeal Specific Immunoadsorption LupusorbTM Columns for the Treatment of Systemic Lupus Erythematosus (SLE) Patients",UNKNOWN,NA,2007-01,2008-08,10,Verto LTD,INDUSTRY,Unknown,,,DEVICE,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT06314282,INTERSTELLAR - International Study Evaluating Lupus Outcomes After Anifrolumab Real World Use,RECRUITING,,2024-10-22,2027-04-30,200,AstraZeneca,INDUSTRY,Ongoing,,,,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT05866861,A Study in Participants With Mild-to-moderate Systemic Lupus Erythematosus,ACTIVE_NOT_RECRUITING,Phase 1,2023-04-24,2025-04-01,40,Cugene Inc.,INDUSTRY,Success,CUG252,CUG252; Placebo,DRUG,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT03019926,Lupus and Observance,COMPLETED,,2017-01-19,2018-07-19,200,University Hospital Center of Martinique,OTHER,Success,,,BIOLOGICAL,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT00547014,First Safety Study in Humans of a Single Dose of CPG 52364,COMPLETED,Phase 1,2007-09,2008-04,61,Pfizer,INDUSTRY,Success,Placebo Comparator: Cohort 1 Placebo,"Placebo Comparator: Cohort 1 Placebo; 52364 3 mg; Placebo Comparator: Cohorts 2, 3, 4 & 5 Two subjects each arm will be assigned to receive placebo",DRUG,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT05000216,COVID-19 Booster Vaccine in Autoimmune Disease Non-Responders,TERMINATED,Phase 2,2021-08-13,2024-03-28,258,National Institute of Allergy and Infectious Diseases (NIAID),NIH,Failure,Continue IS (MMF or MPA),Continue IS (MMF or MPA); Continue IS (MTX); Withhold IS (MMF or MPA),BIOLOGICAL,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT00297284,Memory and Attention Problems in Lupus: New Treatment Trial With Modafinil,TERMINATED,NA,2006-02,2007-02,20,"Hospital for Special Surgery, New York",OTHER,Failure,Modafinil,Modafinil,DRUG,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT07085676,Phase 1 Study of HBI0101 CAR-T in Refractory B-Cell Autoimmune Diseases,RECRUITING,Phase 1,2024-09-01,2030-11-01,120,Polina Stepensky,OTHER,Ongoing,,,BIOLOGICAL,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT00000416,Prevention of Arthritis-Related Work Disability,COMPLETED,NA,1997-09,2001-08,242,Boston University Charles River Campus,OTHER,Success,,,OTHER,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT04987333,"Study of Efavaleukin Alfa in Healthy Chinese, Japanese, and Caucasian Participants",COMPLETED,Phase 1,2021-08-09,2022-10-03,32,Amgen,INDUSTRY,Success,Efavaleukin alfa,Efavaleukin alfa,DRUG,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT05321108,"Aerobic Exercise Versus Whole-Body Vibration on Fatigue, Functional Capacity, Quality of Life in Systemic Lupus",UNKNOWN,NA,2022-03-01,2024-02,68,Cairo University,OTHER,Unknown,,,OTHER,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT04645225,Clinical Characteristic and MEFV Gene Mutations in Patient With Juvenile Onest Systemic Lupus Erythematosus,UNKNOWN,,2021-01-01,2022-03-01,60,Assiut University,OTHER,Unknown,,,DEVICE,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT00962832,A Study to Evaluate the Efficacy and Safety of Rontalizumab in Patients With Moderately to Severely Active Systemic Lupus Erythematosus,COMPLETED,Phase 2,2009-09,2013-08,238,"Genentech, Inc.",INDUSTRY,Success,Placebo,Placebo; Rontalizumab,DRUG,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT07315087,CAR T-cell Therapy Targeting CD19 and BCMA(QT-019C) in Patients With Relapse/Refractory Autoimmune Diseases,RECRUITING,Phase 1,2026-01-01,2029-01-18,12,"Institute of Hematology & Blood Diseases Hospital, China",OTHER,Ongoing,,,BIOLOGICAL,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT00076752,Lymphocyte Depletion and Stem Cell Transplantation to Treat Severe Systemic Lupus Erythematosus,COMPLETED,Phase 2,2004-01-30,2013-10-15,9,National Cancer Institute (NCI),NIH,Success,fludarabine phosphate,fludarabine phosphate; cyclophosphamide; methylprednisolone,DRUG,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT06614270,Anti-CD19 IL-10/IL15 CAR-NK Cells in Refractory/Relapsed Autoimmune Diseases,RECRUITING,NA,2025-01-06,2027-01-06,15,"Second Affiliated Hospital, School of Medicine, Zhejiang University",OTHER,Ongoing,Anti-CD19 IL-10/IL15 CAR-NK,Anti-CD19 IL-10/IL15 CAR-NK,DRUG,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT07136337,The Diagnostic Utility of T Immunoglobulin G and T Immunoglobulin M Biomarkers in Patients With Systemic Lupus Erythematosus Disease : Associations With Disease Activity and Damage,NOT_YET_RECRUITING,NA,2025-09,2028-01,80,Assiut University,OTHER,Ongoing,,,DIAGNOSTIC_TEST,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT07483346,IASO-782 in Systemic Lupus Erythematosus,NOT_YET_RECRUITING,Phase 1,2026-04-30,2028-05-31,20,"Shanghai IASO Biotechnology Co., Ltd",INDUSTRY,Ongoing,IASO-782 injection,IASO-782 injection; Placebo,DRUG,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT03937856,Smartphone Mindfulness Meditation for Patients With Rheumatic Diseases,TERMINATED,NA,2019-05-07,2021-04-22,49,Johns Hopkins University,OTHER,Failure,,,BEHAVIORAL,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT03842787,Anti-ficolin-3 Antibodies in Lupus Nephritis,COMPLETED,,2019-03-07,2020-06-20,4,"University Hospital, Grenoble",OTHER,Success,,,OTHER,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT04356014,Telangiectatic Palmoplantar Keratoderma in Systemic and Subacute Lupus Erythematosus,UNKNOWN,,2020-04-01,2020-12-30,14,"University Hospital, Montpellier",OTHER,Unknown,,,,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT06826430,Inaticabtagene Autoleucel Injection in the Treatment of Refractory Systemic Lupus Erythematosus-related Immune Thrombocytopenia,RECRUITING,Phase 1,2025-03-01,2027-12-31,12,Juventas Cell Therapy Ltd.,INDUSTRY,Ongoing,Inaticabtagene autoleucel Injection,Inaticabtagene autoleucel Injection,DRUG,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT05453422,"Self-Acupressure on Pain, Fatigue and Sleep Quality in Systemic Lupus Erythematosus",UNKNOWN,NA,2022-07-04,2022-09-30,70,Istanbul Sabahattin Zaim University,OTHER,Unknown,,,OTHER,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT01894360,"A Study to Estimate the Relative Bioavailability, Tolerability and Safety of a Single Dose of Belimumab Self-Administered Subcutaneously (SC) by Healthy Subjects",COMPLETED,Phase 1,2013-10-14,2014-05-13,81,GlaxoSmithKline,INDUSTRY,Success,Belimumab 200 mg/mL,Belimumab 200 mg/mL,DRUG,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT04751396,Testing of an Educational Tool for Patients With Melanoma and Pre-Existing Autoimmune Disease Who Are Candidates for Immune Checkpoint Inhibitors,RECRUITING,,2022-04-20,2027-02-02,125,M.D. Anderson Cancer Center,OTHER,Ongoing,,,OTHER,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT05470569,Argentinian Prospective Registry of Patients With Lupus,RECRUITING,,2022-04-01,2027-04-01,1500,Sociedad Argentina de Reumatologia,OTHER,Ongoing,,,,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT06468683,F01 in the Treatment of Moderate-to-severe Refractory Systemic Lupus Erythematosus,NOT_YET_RECRUITING,Phase 1,2024-06-15,2027-12-31,50,"Shanghai Simnova Biotechnology Co.,Ltd.",INDUSTRY,Ongoing,,,BIOLOGICAL,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT04835883,Exploring the Efficacy and Safety of CS20AT04 (Allogenic Bone Marrow-Derived Stem Cell) in Systemic Lupus Erythematosus Patients,UNKNOWN,Phase 2,2019-09-26,2026-01-20,10,Hanyang University Seoul Hospital,OTHER,Unknown,,,BIOLOGICAL,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT01683695,Safety Study of AMG 557 in Subjects With Lupus Arthritis,COMPLETED,Phase 1,2012-06,2016-03,20,Amgen,INDUSTRY,Success,AMG 557,AMG 557; Matching Placebo,DRUG,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT00513591,Duke Autoimmunity in Pregnancy Registry,COMPLETED,,2007-08,2018-11-19,513,Duke University,OTHER,Success,,,,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT03920059,Fixed-dose Versus Concentration-controlled Mycophenolate Mofetil for the Treatment of Active Lupus Nephritis,TERMINATED,Phase 4,2019-08-20,2020-01-30,2,Chulalongkorn University,OTHER,Failure,Mycophenolate Mofetil,Mycophenolate Mofetil,DRUG,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT00527176,Pulse Corticosteroid Therapy and Effect on Brain Water Diffusivity,UNKNOWN,,2007-09,2007-09,,Cliniques universitaires Saint-Luc- Université Catholique de Louvain,OTHER,Unknown,,,,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT00046774,Monoclonal Antibody Treatment for Systemic Lupus Erythematosus,COMPLETED,Phase 1,2002-09-02,2017-09-07,23,National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS),NIH,Success,MRA 003 US,MRA 003 US,DRUG,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT05392790,Progressive Resisted Exercise Plus Aerobic Exercise on Osteoporotic Systemic Lupus Erythmatosus,COMPLETED,NA,2022-05-23,2023-12-30,80,Cairo University,OTHER,Success,Calcium and Vit D,Calcium and Vit D,OTHER,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT05780515,A Study of ANX009 in Adult Participants With Lupus Nephritis,COMPLETED,Phase 1,2022-08-09,2023-10-31,7,"Annexon, Inc.",INDUSTRY,Success,,,BIOLOGICAL,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT03312335,Low-dose Interleukin-2 for Treatment of Systemic Lupus Erythematosus,COMPLETED,Phase 2,2018-08-08,2019-12-23,16,"Onur Boyman, MD",OTHER,Success,Low-dose Aldesleukin (Proleukin®),Low-dose Aldesleukin (Proleukin®),DRUG,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT00420121,European Society of Cutaneous Lupus Erythematosus (EUSCLE),UNKNOWN,,2007-01,2019-12,300,European Society of Cutaneous Lupus Erythematosus e.V.,OTHER,Unknown,,,PROCEDURE,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT03941184,Spontaneous Coronary Artery Dissection (SCAD) and Autoimmunity,COMPLETED,,1995-01-01,2020-11-10,114,Mayo Clinic,OTHER,Success,,,,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT06659029,Prospective Registry Investigating Maternal and Infant Outcomes in Anifrolumab Users,RECRUITING,,2025-07-01,2031-04-15,442,AstraZeneca,INDUSTRY,Ongoing,Anifrolumab,Anifrolumab,DRUG,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT02504645,"A 52-Week, Randomized, Double-Blind, Parallel-Group, Placebo-Controlled Study to Evaluate the Efficacy and Safety of a 200-mcg Dose of IPP-201101 Plus Standard of Care in Patients With Systemic Lupus Erythematosus",COMPLETED,Phase 3,2015-03,2018-01,202,ImmuPharma,INDUSTRY,Success,IPP-201101,IPP-201101; Placebo,DRUG,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT06548607,Clinical Study on Targeted CD19 or CD19-BCMA CAR-T Therapy for Autoimmune Diseases,RECRUITING,EARLY_PHASE1,2024-09-14,2027-12-31,20,"Nanjing Bioheng Biotech Co., Ltd.",INDUSTRY,Ongoing,CD19 or CD19-BCMA CAR-T,CD19 or CD19-BCMA CAR-T,DRUG,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT07203157,HEAL-SLE: Holistic Energy for Alleviating Lupus Symptoms,NOT_YET_RECRUITING,NA,2025-10-15,2026-09-20,20,NYU Langone Health,OTHER,Ongoing,,,OTHER,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT05559671,Safety of the Herpes Zoster Subunit Vaccine in Lupus,RECRUITING,Phase 4,2023-12-21,2027-07-31,224,NYU Langone Health,OTHER,Ongoing,,,BIOLOGICAL,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT03185767,Long Non Coding RNA in Complications of Systemic Lupus,UNKNOWN,NA,2016-06-01,2017-07-01,100,Cairo University,OTHER,Unknown,,,OTHER,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT06255028,A Study of CNTY-101 in Participants With Refractory B Cell-mediated Autoimmune Diseases,ACTIVE_NOT_RECRUITING,Phase 1,2025-02-06,2028-08,6,"Century Therapeutics, Inc.",INDUSTRY,Success,Lymphodepleting Chemotherapy,Lymphodepleting Chemotherapy,BIOLOGICAL,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
NCT01781611,Dipyridamole Assessment for Flare Reduction in Systemic Lupus Erythematosus (SLE),TERMINATED,NA,2013-02,2017-11,18,Oklahoma Medical Research Foundation,OTHER,Failure,extended release dipyridamole 200mg/aspirin 25mg,extended release dipyridamole 200mg/aspirin 25mg; 81mg aspirin,DRUG,systemic lupus erythematosus,2026-05-24T07:54:10.389936+00:00
